Transaction Summary
01 Jul 2019 - 30 Jun 2020
SHARES - asdf - HIN add
MR Leee

Code,Company,Date,Type,Quantity,Unit Price ($),Trade Value ($),Brokerage+GST ($),GST ($),Contract Note,Total Value ($)
"BUB","BUBS AUST LTD FPO (ORDINARY FULLY PAID)",08/05/2020,"Buy","1268","1.0800","1369.4400","19.9500","1.8100","99426469","1389.3900"
"CBA","COMMONWEALTH BANK. FPO (ORDINARY FULLY PAID)",23/04/2020,"Buy","33","58.4800","1929.8400","19.9500","1.8100","98722723","1949.7900"
"CCP","CREDIT CORP GROUP FPO (ORDINARY FULLY PAID)",17/06/2020,"Buy","502","16.4300","8247.8600","19.9500","1.8100","101636398","8267.8100"
"COL","COLES GROUP FPO (ORDINARY FULLY PAID)",08/05/2020,"Buy","105","15.2000","1596.0000","19.9500","1.8100","99427580","1615.9500"
"DOW","DOWNER EDI LIMITED FPO (ORDINARY FULLY PAID)",11/05/2020,"Buy","355","4.2200","1498.1000","19.9500","1.8100","99503079","1518.0500"
"MQG","MACQUARIE GROUP LTD FPO (ORDINARY FULLY PAID)",11/06/2020,"Buy","16","121.5600","1944.9600","19.9500","1.8100","101209883","1964.9100"
"NAB","NATIONAL AUST. BANK FPO (ORDINARY FULLY PAID)",08/05/2020,"Buy","102","16.1400","1646.2800","19.9500","1.8100","99426812","1666.2300"
"NXT","NEXTDC LIMITED FPO (ORDINARY FULLY PAID)",12/06/2020,"Buy","201","8.9300","1794.9300","19.9500","1.8100","101449519","1814.8800"
"PPH","PUSHPAY HOLDINGS LTD FPO NZX (ORDINARY FULLY PAID FOREIGN EXEMPT NZX)",11/06/2020,"Buy","359","6.9600","2498.6400","19.9500","1.8100","101213419","2518.5900"
"WBC","WESTPAC BANKING CORP FPO (ORDINARY FULLY PAID)",12/05/2020,"Buy","78","15.2300","1187.9400","19.9500","1.8100","99596651","1207.8900"
"WOW","WOOLWORTHS GROUP LTD FPO (ORDINARY FULLY PAID)",08/05/2020,"Buy","40","34.7800","1391.2000","19.9500","1.8100","99423187","1411.1500"

,,,,,,,,,Total Buys (inc. Brokerage + GST),"25324.6400"
,,,,,,,,,Total Sells (inc. Brokerage + GST),"0.0000"


"The transaction summary is only able to display information available to Commonwealth Securities Limited. Certain transactions may not be displayed, including but not limited to transactions made off market such as Initial Public Offerings (IPOs) and Delivery vs Payment Settlements (DvP). Transactions regarding corporate actions or stock transfers are not included and can be found on your statements as issued by the company or the share registry. Transactions for Issuer Sponsored holdings placed outside of this account are not included in this summary. Links to some of the key share registries can be found below:
		
		Computershare (http://www.computershare.com/au/Pages/default.aspx)
		Link Market Services (https://investorcentre.linkmarketservices.com.au/Login.aspx/Login)
		Boardroom Limited (https://boardroomlimited.com.au)
		Security Transfer Registrars (https://www.securitytransfer.com.au)
		Advanced Share Registry Services (http://www.advancedshare.com.au/Home.aspx)"


"The total brokerage outlined does not include any rebates you may have received over the financial year. Refer to your transaction statement records for this information.
		This report only includes an estimate of dividends paid for holdings held with Commonwealth Securities Limited as at the ex-dividend date. For instance, any dividends paid prior to holdings being transferred to Commonwealth Securities Limited are not included.
		This statement is an estimated summary document only and it is not intended to replace any document which contains information that may be required for taxation purposes. You should therefore refer to your CHESS statements, dividend statements, confirmation contract notes and other investment or bank account statements for your records in this regard. This statement may not include information on accounts which have been closed, switched product type, transferred Holder Identification Number (HIN), or switched Participant Identification Number (PID) during the financial year.
		
		There may be tax implications from receiving the Yello Investing Payment. For some information on potential tax implications, please check out our FAQs available at commbank.com.au/commbank-yello or seek advice from your registered accountant or tax adviser.
		
		This statement is issued by Commonwealth Securities Limited ABN 60 067 254 399 AFSL 238814 (CommSec), a wholly owned but non-guaranteed subsidiary of the Commonwealth Bank of Australia ABN 48 123 123 124 AFSL 234945.CommSec is a Market Participant of ASX Limited and Cboe Australia Pty Limited, a Clearing Participant of ASX Clear Pty Limited and a Settlement Participant of ASX Settlement Pty Limited. Information contained in this statement is believed to be accurate at the time the statement is generated. CBA and its subsidiaries do not accept any liability for any errors or omissions contained in this statement, or any responsibility for any action taken in reliance on this statement. This document contains general information only and does not take into account your individual objectives, financial and taxation situations or needs. Before acting on the information, consider the appropriateness of your own objectives, needs, financial and taxation situation and, if necessary, seek appropriate independent financial and taxation advice. CBA is not a registered tax (financial) adviser under the Tax Agent Services Act 2009. If there are any errors in this statement, please contact us.
		
		Address: Commonwealth Securities Limited, Locked Bag 22, Australia Square NSW 1215 | Phone: 13 15 19 
		
		If you are not satisfied with the service or advice you receive from us, you are entitled to complain. We have established procedures to ensure that all enquiries and complaints are properly dealt with. Please refer to our Financial Services Guide for more information. If an issue has not been resolved to your satisfaction, you can lodge a complaint with the Australian Financial Complaints Authority (AFCA). AFCA provides fair and independent financial services complaint resolution that is free to consumers. Website: www.afca.org.au, Telephone: 1800 931 678 (free call), Email: info@afca.org.au, In writing to: Australian Financial Complaints Authority, GPO Box 3, Melbourne VIC 3001."


"GLOSSARY",""
"Units","The number of registered securities that you own."
"Unit Price","The Portfolio Valuation 'Unit Price' is calculated using a 'Reference' Price provided by the ASX which takes into account an adjustment to determine value at Close of Market if the Security does not trade in the Closing Single Price Auction on the Valuation Date."
"Brokerage","The fee or charge that is paid by you when transacting a buy or sell."
"Holder Identification Number (HIN)","When you are CHESS sponsored with a Broker you will be issued a unique number, called a HIN. Multiple holdings can be registered under the single HIN. A HIN starts with the letter X and usually followed by 10 numbers, e.g. X0001234567."
"Dividend","A dividend is a payment made to shareholders from the company. This payment is a portion of the company's profits. ASX listed companies typically pay dividends twice a year, usually as an 'interim' dividend and a 'final dividend'. From time to time, a company may also pay a 'special' dividend."
